user,code,quantity,target_date,store,name,unit,LT,price,buy_price,status,order_id
ohhsalad,100001,1,2022-03-17,언주,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid9404829
ohhsalad,100002,4,2022-03-17,언주,피양파,1Kg,1,1500,1500,주문완료,oid41207356
ohhsalad,100003,2,2022-03-17,언주,계란/특란,1판,1,5700,5700,주문완료,oid83108897
ohhsalad,100002,4,2022-03-18,언주,피양파,1Kg,1,1500,1500,주문완료,oid17918031
ohhsalad,100003,3,2022-03-18,언주,계란/특란,1판,1,5700,5700,주문완료,oid51959938
ohhsalad,100004,2,2022-03-18,언주,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid22686012
ohhsalad,100005,1,2022-03-18,언주,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid30726292
ohhsalad,100001,2,2022-03-02,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid96549159
ohhsalad,100002,4,2022-03-02,선릉,피양파,1Kg,1,1500,1500,주문완료,oid47449140
ohhsalad,100003,4,2022-03-02,선릉,계란/특란,1판,1,5700,5700,주문완료,oid11280843
ohhsalad,100004,4,2022-03-02,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid75490370
ohhsalad,100005,1,2022-03-02,선릉,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid70472278
ohhsalad,100001,3,2022-03-03,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid70613684
ohhsalad,100002,4,2022-03-03,선릉,피양파,1Kg,1,1500,1500,주문완료,oid40693681
ohhsalad,100003,3,2022-03-03,선릉,계란/특란,1판,1,5700,5700,주문완료,oid9281313
ohhsalad,100004,4,2022-03-03,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid79914415
ohhsalad,100001,3,2022-03-04,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid36452818
ohhsalad,100002,2,2022-03-04,선릉,피양파,1Kg,1,1500,1500,주문완료,oid93223632
ohhsalad,100003,2,2022-03-04,선릉,계란/특란,1판,1,5700,5700,주문완료,oid39289193
ohhsalad,100001,2,2022-03-05,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid56165661
ohhsalad,100002,4,2022-03-05,선릉,피양파,1Kg,1,1500,1500,주문완료,oid38243353
ohhsalad,100002,4,2022-03-07,선릉,피양파,1Kg,1,1500,1500,주문완료,oid29921847
ohhsalad,100003,4,2022-03-07,선릉,계란/특란,1판,1,5700,5700,주문완료,oid88701483
ohhsalad,100004,2,2022-03-07,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid86840705
ohhsalad,100005,1,2022-03-07,선릉,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid601480
ohhsalad,100001,3,2022-03-08,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid84212643
ohhsalad,100002,3,2022-03-08,선릉,피양파,1Kg,1,1500,1500,주문완료,oid93341587
ohhsalad,100003,3,2022-03-08,선릉,계란/특란,1판,1,5700,5700,주문완료,oid70947323
ohhsalad,100005,1,2022-03-08,선릉,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid54318772
ohhsalad,100001,2,2022-03-09,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid19977749
ohhsalad,100002,4,2022-03-09,선릉,피양파,1Kg,1,1500,1500,주문완료,oid62717988
ohhsalad,100003,2,2022-03-09,선릉,계란/특란,1판,1,5700,5700,주문완료,oid98416401
ohhsalad,100004,2,2022-03-09,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid69234776
ohhsalad,100001,2,2022-03-10,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid74832098
ohhsalad,100002,4,2022-03-10,선릉,피양파,1Kg,1,1500,1500,주문완료,oid12519901
ohhsalad,100003,2,2022-03-10,선릉,계란/특란,1판,1,5700,5700,주문완료,oid53579690
ohhsalad,100004,2,2022-03-10,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid3072838
ohhsalad,100002,4,2022-03-11,선릉,피양파,1Kg,1,1500,1500,주문완료,oid41602600
ohhsalad,100003,4,2022-03-11,선릉,계란/특란,1판,1,5700,5700,주문완료,oid16756577
ohhsalad,100005,1,2022-03-11,선릉,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid23931717
ohhsalad,100001,2,2022-03-12,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid22101373
ohhsalad,100002,2,2022-03-12,선릉,피양파,1Kg,1,1500,1500,주문완료,oid55601188
ohhsalad,100003,2,2022-03-12,선릉,계란/특란,1판,1,5700,5700,주문완료,oid54678066
ohhsalad,100002,4,2022-03-14,선릉,피양파,1Kg,1,1500,1500,주문완료,oid51218236
ohhsalad,100003,2,2022-03-14,선릉,계란/특란,1판,1,5700,5700,주문완료,oid1191988
ohhsalad,100004,2,2022-03-14,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid28564182
ohhsalad,100002,4,2022-03-15,선릉,피양파,1Kg,1,1500,1500,주문완료,oid7234192
ohhsalad,100003,4,2022-03-15,선릉,계란/특란,1판,1,5700,5700,주문완료,oid13696381
ohhsalad,100001,2,2022-03-16,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid43916616
